iter	RMSE
0	0.06694847231
1	0.06250580637
2	0.05835200421
3	0.05484063091
4	0.0516337397
5	0.04901874803
6	0.04656123125
7	0.04437779982
8	0.04244293745
9	0.04063951311
10	0.03931900853
11	0.03798861442
12	0.0368503402
13	0.03588355152
14	0.03503583493
15	0.03403028842
16	0.03324950294
17	0.03224039858
18	0.03173777166
19	0.03116223355
20	0.03075540467
21	0.03027883999
22	0.02974184512
23	0.0291927721
24	0.02886517863
25	0.02854923167
26	0.02804867235
27	0.02785277968
28	0.02747051751
29	0.02726098481
30	0.02700175055
31	0.02668398635
32	0.02645914394
33	0.02633304613
34	0.02623298141
35	0.02601549336
36	0.02592762578
37	0.02574571906
38	0.02554012444
39	0.02536354376
40	0.02517891443
41	0.02498861536
42	0.02483692363
43	0.02476616126
44	0.02463643682
45	0.02455973746
46	0.02444832488
47	0.02436551892
48	0.02424970878
49	0.02414594209
50	0.02400219246
51	0.02390991233
52	0.02385043895
53	0.02380319446
54	0.0237754104
55	0.02354630919
56	0.02345855718
57	0.0234059557
58	0.02326099041
59	0.02313430761
60	0.02311476499
61	0.02306866262
62	0.0229405564
63	0.02281268315
64	0.02275388962
65	0.02266811241
66	0.02266688908
67	0.02260564989
68	0.02252557896
69	0.02247224256
70	0.02243704833
71	0.02232711269
72	0.02224673052
73	0.02213279352
74	0.02205742458
75	0.0219512361
76	0.02185011954
77	0.02177029086
78	0.02170800899
79	0.02163679649
80	0.02154429845
81	0.02149923166
82	0.02144679004
83	0.02137767031
84	0.02131418945
85	0.02123110403
86	0.02115446023
87	0.02108258611
88	0.02097289622
89	0.02086749943
90	0.02075589035
91	0.02072405237
92	0.02067097353
93	0.0205751326
94	0.0205312892
95	0.02046274441
96	0.02040095403
97	0.02035467807
98	0.0202927208
99	0.02023575884
